experiment,clock,metric,value
resolution,clock_gettime,mean_call_ns,20.2300
resolution,clock_gettime,smallest_nonzero_delta_ns,41.0000
resolution,clock_gettime,zero_delta_fraction,0.536610
resolution,clock_gettime,backward_deltas,0
resolution,clock_gettime,samples,1000000
resolution,gettimeofday,mean_call_ns,22.7610
resolution,gettimeofday,smallest_nonzero_delta_ns,1000.0000
resolution,gettimeofday,zero_delta_fraction,0.978632
resolution,gettimeofday,backward_deltas,0
resolution,gettimeofday,samples,1000000
resolution,cntvct_el0,mean_call_ns,10.4088
resolution,cntvct_el0,smallest_nonzero_delta_ns,41.6667
resolution,cntvct_el0,zero_delta_fraction,0.754265
resolution,cntvct_el0,backward_deltas,0
resolution,cntvct_el0,samples,1000000
cross_core,cntvct_el0,cpu0_skew_ns,0.0
cross_core,cntvct_el0,cpu1_skew_ns,83.0
cross_core,cntvct_el0,cpu2_skew_ns,82.7
cross_core,cntvct_el0,cpu3_skew_ns,83.3
cross_core,cntvct_el0,cpu4_skew_ns,41.0
cross_core,cntvct_el0,cpu5_skew_ns,83.0
cross_core,cntvct_el0,cpu6_skew_ns,83.0
cross_core,cntvct_el0,cpu7_skew_ns,41.0
cross_core,cntvct_el0,frequency_hz,24000000
cross_core,cntvct_el0,period_ns,41.6667
accuracy,clock_gettime,mean_seconds,5.003928596
accuracy,gettimeofday,mean_seconds,5.003926800
accuracy,cntvct_el0,mean_seconds,5.003929142
accuracy,clock_gettime,error_ppm,785.719
accuracy,gettimeofday,error_ppm,785.360
accuracy,cntvct_el0,error_ppm,785.828
